example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,universal_difficulty_rank,global_linear_cka,init_highest_softmax_prob,init_target_softmax_prob,steps_to_correct
0,/home/projects/bagon/shared/imagenet512/val/n04127249/ILSVRC2012_val_00002068.JPEG,421,10.018463134765625,0.00095367431640625,0.020967286920728363,0.29157169812270745,0.0,21995,0.964730,0.7074370980262756,0.7074370980262756,0
1,/home/projects/bagon/shared/imagenet512/val/n02099429/ILSVRC2012_val_00038920.JPEG,382,16.827133178710938,0.0009613037109375,0.018416245402447424,0.40879311802800333,0.0,23032,0.948435,0.5902254581451416,0.5902254581451416,0
2,/home/projects/bagon/shared/imagenet512/val/n02091831/ILSVRC2012_val_00047324.JPEG,298,10.799209594726562,0.0009613037109375,0.017484368211510934,0.2938281456759558,0.0,24206,0.937380,0.705181360244751,0.705181360244751,0
3,/home/projects/bagon/shared/imagenet512/val/n04522168/ILSVRC2012_val_00003657.JPEG,248,25.951637268066406,0.00099945068359375,0.01586721134932295,0.665737791808109,0.0,25883,0.965196,0.5332103371620178,0.3332855701446533,6
4,/home/projects/bagon/shared/imagenet512/val/n03769881/ILSVRC2012_val_00035193.JPEG,588,17.102584838867188,0.00099945068359375,0.022477973789736712,0.43189227954799236,0.0,25886,0.982398,0.5670832395553589,0.5670832395553589,0
5,/home/projects/bagon/shared/imagenet512/val/n02107683/ILSVRC2012_val_00004180.JPEG,648,47.76678466796875,0.0009765625,0.03148811680075497,0.7172880694656106,0.0,26506,0.948384,0.306523859500885,0.2817125916481018,2
6,/home/projects/bagon/shared/imagenet512/val/n02104365/ILSVRC2012_val_00010865.JPEG,199,18.509132385253906,0.00099945068359375,0.010125185508734945,0.727253313310738,0.0,27092,0.972565,0.27599218487739563,0.27166926860809326,1
7,/home/projects/bagon/shared/imagenet512/val/n02106030/ILSVRC2012_val_00049725.JPEG,860,41.10667419433594,0.0009765625,0.03418239856353953,0.6530526399245441,0.0,27224,0.951726,0.5152092576026917,0.34592318534851074,10
8,/home/projects/bagon/shared/imagenet512/val/n01985128/ILSVRC2012_val_00049661.JPEG,455,24.423091888427734,0.000972747802734375,0.01964253528712205,0.458141147624439,0.0,27234,0.981570,0.5408421158790588,0.5408421158790588,0
9,/home/projects/bagon/shared/imagenet512/val/n03976657/ILSVRC2012_val_00028457.JPEG,318,21.598072052001953,0.000965118408203125,0.020240342095885704,0.5624753285259035,0.0,27274,0.973788,0.43652406334877014,0.43652406334877014,0
10,/home/projects/bagon/shared/imagenet512/val/n02071294/ILSVRC2012_val_00024749.JPEG,694,14.575248718261719,0.00098419189453125,0.03384144746976254,0.23830683490643517,0.0,27437,0.968146,0.7606927752494812,0.7606927752494812,0
11,/home/projects/bagon/shared/imagenet512/val/n02098105/ILSVRC2012_val_00012004.JPEG,365,44.953155517578125,0.00095367431640625,0.02376042042892588,0.7252992395285215,0.0,27601,0.933860,0.40586596727371216,0.2737066149711609,6
12,/home/projects/bagon/shared/imagenet512/val/n02093991/ILSVRC2012_val_00007327.JPEG,222,14.027565002441406,0.00099945068359375,0.01270633269909775,0.7640845010126496,0.0,27739,0.973017,0.25711262226104736,0.23489001393318176,1
